begin_time ET
4493.19 0.020432
4493.21 0.020845
4493.23 0.020387
4493.25 0.020319
4493.27 0.020278
4493.3 0.020239
4493.32 0.020387
4493.34 0.02032
4493.36 0.020335
4493.38 0.020445
4493.4 0.020388
4493.42 0.020361
4493.44 0.020455
4493.46 0.020319
4493.48 0.020423
4493.5 0.020399
4493.52 0.020276
4493.54 0.020491
4493.56 0.020374
4493.58 0.020407
4493.6 0.020475
4493.62 0.020614
4493.64 0.020382
4493.66 0.02031
4493.68 0.020405
4493.7 0.020372
4493.72 0.02036
4493.74 0.020775
4493.76 0.020569
4493.79 0.020328
4493.81 0.020374
4493.83 0.020448
4493.85 0.020356
4493.87 0.020325
4493.89 0.020393
4493.91 0.020496
4493.93 0.020414
4493.95 0.020414
4493.97 0.020373
4493.99 0.020473
4494.01 0.020441
4494.03 0.020361
4494.05 0.020402
4494.07 0.020365
4494.09 0.020482
4494.11 0.020397
4494.13 0.020431
4494.15 0.020392
4494.17 0.02053
4494.19 0.020355
4494.21 0.020335
4494.23 0.020297
4494.25 0.021833
4494.28 0.020457
4494.3 0.020391
4494.32 0.02034
4494.34 0.020427
4494.36 0.02041
4494.38 0.020323
4494.4 0.02053
4494.42 0.020327
4494.44 0.020299
4494.46 0.02042
4494.48 0.020368
4494.5 0.020324
4494.52 0.020567
4494.54 0.020357
4494.56 0.020396
4494.58 0.020526
4494.6 0.020353
4494.62 0.020367
4494.64 0.020372
4494.66 0.021136
4494.69 0.021517
4494.71 0.020269
4494.73 0.020288
4494.75 0.020373
4494.77 0.020375
4494.79 0.020331
4494.81 0.020372
4494.83 0.020413
4494.85 0.02035
4494.87 0.020389
4494.89 0.020319
4494.91 0.02034
4494.93 0.020351
4494.95 0.022266
4494.97 0.020489
4494.99 0.020348
4495.01 0.020377
4495.04 0.020315
4495.06 0.020338
4495.08 0.020412
4495.1 0.020485
4495.12 0.020421
4495.14 0.020321
4495.16 0.020305
4495.18 0.020297
4495.2 0.020281
4495.22 0.020299
4495.24 0.020265
4495.26 0.020293
4495.28 0.020263
4495.3 0.0203
4495.32 0.022212
4495.34 0.020335
4495.36 0.020463
4495.38 0.02026
4495.4 0.020215
4495.42 0.020258
4495.44 0.021759
4495.47 0.020239
4495.49 0.020418
4495.51 0.020288
4495.53 0.020218
4495.55 0.020269
4495.57 0.022698
4495.59 0.0205
4495.61 0.02063
4495.63 0.020607
4495.65 0.020583
4495.67 0.020466
4495.69 0.020535
4495.71 0.020481
4495.73 0.020476
4495.75 0.020462
4495.77 0.020422
4495.8 0.020453
4495.82 0.020513
4495.84 0.020423
4495.86 0.02049
4495.88 0.020495
4495.9 0.020383
4495.92 0.020446
4495.94 0.020352
4495.96 0.022555
4495.98 0.02039
4496 0.020517
4496.02 0.020375
4496.04 0.020354
4496.06 0.020379
4496.08 0.020452
4496.1 0.020468
4496.12 0.020424
4496.15 0.020431
4496.17 0.020369
4496.19 0.020403
4496.21 0.020397
4496.23 0.02045
4496.25 0.020365
4496.27 0.020472
4496.29 0.020433
4496.31 0.020405
4496.33 0.020321
4496.35 0.020389
4496.37 0.02027
4496.39 0.020375
4496.41 0.020339
4496.43 0.020376
4496.45 0.020416
4496.47 0.020334
4496.49 0.020563
4496.51 0.020482
4496.53 0.020489
4496.55 0.020371
4496.57 0.02041
4496.59 0.020393
4496.61 0.020369
4496.64 0.021609
4496.66 0.020389
4496.68 0.020354
4496.7 0.020312
4496.72 0.020331
4496.74 0.020351
4496.76 0.020357
4496.78 0.020287
4496.8 0.020257
4496.82 0.020233
4496.84 0.020291
4496.86 0.020283
4496.88 0.020276
4496.9 0.020275
4496.92 0.020324
4496.94 0.020235
4496.96 0.020303
4496.98 0.020284
4497 0.020326
4497.02 0.022187
4497.04 0.020455
4497.07 0.020769
4497.09 0.020872
4497.11 0.020392
4497.13 0.020566
4497.15 0.020424
4497.17 0.021903
4497.19 0.020486
4497.21 0.020381
4497.23 0.020403
4497.25 0.020392
4497.27 0.020461
4497.29 0.020357
4497.31 0.020358
4497.33 0.02036
4497.35 0.020328
4497.37 0.020428
4497.39 0.020524
4497.41 0.020501
4497.44 0.020431
4497.46 0.020517
4497.48 0.020455
4497.5 0.02065
4497.52 0.020398
4497.54 0.020487
4497.56 0.020682
4497.58 0.02027
4497.6 0.02033
4497.62 0.020821
4497.64 0.02035
4497.66 0.020299
4497.68 0.020745
4497.7 0.020361
4497.72 0.020382
4497.74 0.022763
4497.77 0.02031
4497.79 0.020467
4497.81 0.020389
4497.83 0.020756
4497.85 0.020537
4497.87 0.020484
4497.89 0.020438
4497.91 0.020864
4497.93 0.020477
4497.95 0.020399
4497.97 0.020424
4497.99 0.020964
4498.01 0.020406
4498.03 0.020415
4498.05 0.02041
4498.07 0.020902
4498.09 0.020603
4498.12 0.020324
4498.14 0.020743
4498.16 0.020346
4498.18 0.020415
4498.2 0.020878
4498.22 0.020443
4498.24 0.020506
4498.26 0.020861
4498.28 0.020429
4498.3 0.020557
4498.32 0.020419
4498.34 0.020447
4498.36 0.020463
4498.38 0.020318
4498.4 0.02046
4498.42 0.02044
4498.44 0.020455
4498.46 0.020353
4498.48 0.020506
4498.5 0.020454
4498.53 0.020398
4498.55 0.020411
4498.57 0.020345
4498.59 0.020306
4498.61 0.020364
4498.63 0.020381
4498.65 0.020676
4498.67 0.022647
4498.69 0.020541
4498.71 0.020394
4498.73 0.020333
4498.75 0.020323
4498.77 0.020273
4498.79 0.020232
4498.81 0.020327
4498.83 0.020292
4498.85 0.020446
4498.87 0.020449
4498.89 0.020392
4498.92 0.020301
4498.94 0.020286
4498.96 0.020518
4498.98 0.020431
4499 0.020418
4499.02 0.020337
4499.04 0.02036
4499.06 0.020348
4499.08 0.02037
4499.1 0.020433
4499.12 0.02038
4499.14 0.020354
4499.16 0.02032
4499.18 0.020324
4499.2 0.020965
4499.22 0.020336
4499.24 0.020289
4499.26 0.02041
4499.28 0.020465
4499.3 0.020541
4499.32 0.020565
4499.34 0.020693
4499.37 0.020358
4499.39 0.020471
4499.41 0.020492
4499.43 0.020585
4499.45 0.020456
4499.47 0.020523
4499.49 0.020463
